Year,Rep,PI,survival,emergence
2013,1,PI 233279,0.862,0.644
2013,2,PI 233279,0.864,0.489
2013,3,PI 233279,1,0.533
2013,4,PI 233279,0.938,0.356
2013,1,PI 233812,1,0
2013,2,PI 233812,1,0.089
2013,3,PI 233812,0.706,0.378
2013,4,PI 233812,1,0.089
2013,1,PI 251562,1,0.244
2013,2,PI 251562,1,0.244
2013,3,PI 251562,1,0.378
2013,4,PI 251562,0.9,0.222
2013,1,PI 251563,0.778,0.6
2013,2,PI 251563,0.75,0.267
2013,3,PI 251563,0.909,0.489
2013,4,PI 251563,1,0.378
2013,1,PI 338674,1,0.511
2013,2,PI 338674,0.625,0.178
2013,3,PI 338674,0.933,0.333
2013,4,PI 338674,0.909,0.244
2013,1,PI 369045,1,0.667
2013,2,PI 369045,1,0.644
2013,3,PI 369045,0.857,0.622
2013,4,PI 369045,1,0.711
2013,1,PI 378130,0.714,0.311
2013,2,PI 378130,1,0.444
2013,3,PI 378130,0.818,0.244
2013,4,PI 378130,1,0.467
2013,1,PI 418900,1,0.133
2013,2,PI 418900,0.417,0.267
2013,3,PI 418900,0,0.111
2013,4,PI 418900,0.9,0.222
2013,1,PI 418901,1,0.467
2013,2,PI 418901,1,0.356
2013,3,PI 418901,1,0.4
2013,4,PI 418901,1,0.2
2013,1,PI 422487,0.571,0.622
2013,2,PI 422487,1,0.356
2013,3,PI 422487,0.941,0.378
2013,4,PI 422487,0.773,0.489
2013,1,PI 442556,1,0.289
2013,2,PI 442556,1,0.489
2013,3,PI 442556,1,0.356
2013,4,PI 442556,1,0.2
2013,1,PI 499564,1,0.111
2013,2,PI 499564,0.947,0.422
2013,3,PI 499564,1,0.289
2013,4,PI 499564,1,0.356
2013,1,PI 527691,1,0.533
2013,2,PI 527691,0.846,0.578
2013,3,PI 527691,1,0.511
2013,4,PI 527691,1,0.489
2013,1,PI 556990,1,0.689
2013,2,PI 556990,0.882,0.756
2013,3,PI 556990,0.923,0.867
2013,4,PI 556990,1,0.644
2013,1,PI 561569,0.429,0.156
2013,2,PI 561569,0.769,0.289
2013,3,PI 561569,1,0.244
2013,4,PI 561569,1,0.267
2013,1,PI 561942,1,0.644
2013,2,PI 561942,0.935,0.689
2013,3,PI 561942,0.778,0.4
2013,4,PI 561942,1,0.689
2013,1,PI 561943,1,0.733
2013,2,PI 561943,0.781,0.711
2013,3,PI 561943,0.865,0.822
2013,4,PI 561943,1,0.556
2013,1,PI 561944,0.889,0.6
2013,2,PI 561944,1,0.533
2013,3,PI 561944,0.9,0.667
2013,4,PI 561944,0.633,0.667
2013,1,PI 603034,1,0.467
2013,2,PI 603034,1,0.622
2013,3,PI 603034,1,0.622
2013,4,PI 603034,0.84,0.556
2013,1,PI 613042,0.92,0.556
2013,2,PI 613042,1,0.756
2013,3,PI 613042,0.909,0.733
2013,4,PI 613042,1,0.467
2013,1,PI 613043,1,0.667
2013,2,PI 613043,0.958,0.533
2013,3,PI 613043,1,0.533
2013,4,PI 613043,1,0.578
2013,1,PI 613044,1,0.556
2013,2,PI 613044,1,0.578
2013,3,PI 613044,1,0.311
2013,4,PI 613044,1,0.489
2013,1,PI 613045,1,0.444
2013,2,PI 613045,1,0.511
2013,3,PI 613045,1,0.4
2013,4,PI 613045,1,0.4
2013,1,PI 613046,0.889,0.4
2013,2,PI 613046,1,0.6
2013,3,PI 613046,0.938,0.356
2013,4,PI 613046,1,0.489
2013,1,PI 613047,1,0.6
2013,2,PI 613047,1,0.622
2013,3,PI 613047,1,0.578
2013,4,PI 613047,1,0.689
2013,2,PI 613048,1,0.556
2013,3,PI 613048,1,0.289
2013,4,PI 613048,1,0.378
2013,1,PI 613049,0.897,0.644
2013,2,PI 613049,0.846,0.578
2013,3,PI 613049,0.892,0.822
2013,4,PI 613049,1,0.689
2013,1,PI 655006,0.966,0.644
2013,2,PI 655006,1,0.6
2013,3,PI 655006,1,0.556
2013,4,PI 655006,1,0.578
2013,2,PI 655007,1,0.289
2013,3,PI 655007,1,0
2013,4,PI 655007,1,0.444
2013,1,PI 663850,1,0.533
2013,2,PI 663850,1,0.533
2013,3,PI 663850,0.933,0.667
2013,4,PI 663850,1,0.667
2014,1,PI 233279,0.348,0.575
2014,2,PI 233279,0.375,0.6
2014,3,PI 233279,0.067,0.375
2014,4,PI 233279,0,0.525
2014,1,PI 233812,0,0.25
2014,2,PI 233812,0,0.025
2014,3,PI 233812,0,0.15
2014,4,PI 233812,0,0.225
2014,1,PI 251562,0.167,0.6
2014,2,PI 251562,0,0.45
2014,3,PI 251562,0.2,0.5
2014,4,PI 251562,0,0.45
2014,1,PI 251563,0.043,0.575
2014,2,PI 251563,0.75,0.2
2014,3,PI 251563,0.118,0.425
2014,4,PI 251563,0.556,0.225
2014,1,PI 338674,0,0.6
2014,2,PI 338674,0,0.55
2014,3,PI 338674,0,0.2
2014,4,PI 338674,0,0.325
2014,1,PI 369045,0.152,0.825
2014,2,PI 369045,0.312,0.8
2014,3,PI 369045,0.76,0.625
2014,4,PI 369045,0.304,0.575
2014,1,PI 378130,0,0.725
2014,2,PI 378130,0,0.45
2014,3,PI 378130,0,0.375
2014,4,PI 378130,0,0.225
2014,1,PI 418900,0,0.55
2014,2,PI 418900,0,0.2
2014,3,PI 418900,0.091,0.275
2014,1,PI 418901,0.115,0.65
2014,2,PI 418901,0.346,0.65
2014,3,PI 418901,0.08,0.625
2014,4,PI 418901,0.045,0.55
2014,1,PI 422487,0.308,0.325
2014,2,PI 422487,0,0.125
2014,3,PI 422487,0.167,0.3
2014,4,PI 422487,0.062,0.4
2014,1,PI 442556,0,0.5
2014,2,PI 442556,0.2,0.375
2014,3,PI 442556,0,0.175
2014,4,PI 442556,0,0.425
2014,1,PI 499564,0,0.35
2014,2,PI 499564,0.714,0.35
2014,3,PI 499564,0.167,0.15
2014,4,PI 499564,0.125,0.2
2014,1,PI 527691,0.429,0.7
2014,2,PI 527691,0.867,0.75
2014,3,PI 527691,0.591,0.55
2014,4,PI 527691,0.056,0.45
2014,1,PI 556990,0.286,0.7
2014,2,PI 556990,0.231,0.65
2014,3,PI 556990,0.185,0.675
2014,4,PI 556990,0.312,0.8
2014,1,PI 561569,0.071,0.35
2014,2,PI 561569,0.545,0.275
2014,3,PI 561569,0,0.175
2014,4,PI 561569,0.444,0.225
2014,1,PI 561942,0.576,0.825
2014,2,PI 561942,0.147,0.85
2014,3,PI 561942,0.148,0.675
2014,4,PI 561942,0.304,0.575
2014,1,PI 561943,0.815,0.675
2014,2,PI 561943,0.839,0.775
2014,3,PI 561943,0.087,0.575
2014,4,PI 561943,0,0.625
2014,1,PI 561944,0.387,0.775
2014,2,PI 561944,0.643,0.7
2014,3,PI 561944,0.455,0.825
2014,4,PI 561944,0.378,0.925
2014,1,PI 603034,0.632,0.475
2014,2,PI 603034,0.571,0.525
2014,3,PI 603034,0.05,0.5
2014,4,PI 603034,0.067,0.375
2014,1,PI 613042,1,0.6
2014,2,PI 613042,0,0.75
2014,3,PI 613042,0.391,0.575
2014,4,PI 613042,0.1,0.75
2014,1,PI 613043,0.034,0.725
2014,2,PI 613043,0.812,0.8
2014,3,PI 613043,0.1,0.75
2014,4,PI 613043,0.706,0.425
2014,1,PI 613044,0.235,0.425
2014,2,PI 613044,0.208,0.6
2014,3,PI 613044,0,0.575
2014,4,PI 613044,0.045,0.55
2014,1,PI 613045,0.632,0.475
2014,2,PI 613045,0.4,0.5
2014,3,PI 613045,0.429,0.35
2014,4,PI 613045,0,0.425
2014,1,PI 613046,0.333,0.6
2014,2,PI 613046,0.783,0.575
2014,3,PI 613046,0.9,0.75
2014,4,PI 613046,0,0.45
2014,1,PI 613047,0.115,0.65
2014,2,PI 613047,0.844,0.8
2014,3,PI 613047,0,0.675
2014,4,PI 613047,0.152,0.825
2014,1,PI 613048,0.81,0.525
2014,2,PI 613048,0.143,0.525
2014,3,PI 613048,0.955,0.55
2014,4,PI 613048,0,0.25
2014,1,PI 613049,0.8,0.625
2014,2,PI 613049,0.562,0.4
2014,3,PI 613049,0,0.275
2014,4,PI 613049,0,0.425
2014,1,PI 655006,0.286,0.525
2014,2,PI 655006,0,0.725
2014,3,PI 655006,0.286,0.7
2014,4,PI 655006,0,0.825
2014,1,PI 655007,0.696,0.575
2014,2,PI 655007,0.5,0.55
2014,3,PI 655007,0.12,0.625
2014,4,PI 655007,0,0.575
2014,1,PI 663850,0.548,0.775
2014,2,PI 663850,0.061,0.825
2014,3,PI 663850,0.161,0.775
2014,4,PI 663850,0.364,0.275
2015,2,PI 233279,0.905,0.525
2015,3,PI 233279,1,0.6
2015,4,PI 233279,1,0.405
2015,1,PI 233812,1,0.15
2015,2,PI 233812,0.875,0.2
2015,3,PI 233812,1,0.125
2015,4,PI 233812,0.667,0.243
2015,1,PI 251562,1,0.25
2015,2,PI 251562,1,0.3
2015,3,PI 251562,1,0.25
2015,4,PI 251562,0.889,0.243
2015,1,PI 251563,1,0.35
2015,2,PI 251563,0.769,0.325
2015,3,PI 251563,0.867,0.375
2015,4,PI 251563,0.882,0.459
2015,1,PI 338674,0.333,0.45
2015,2,PI 338674,0.9,0.5
2015,3,PI 338674,0.867,0.375
2015,4,PI 338674,1,0.243
2015,1,PI 369045,0.966,0.725
2015,2,PI 369045,1,0.775
2015,3,PI 369045,1,0.6
2015,4,PI 369045,1,0.784
2015,1,PI 378130,0.4,0.25
2015,2,PI 378130,1,0.2
2015,3,PI 378130,0.75,0.108
2015,4,PI 378130,0.75,0.3
2015,1,PI 418900,0.944,0.45
2015,2,PI 418900,0.75,0.2
2015,3,PI 418900,0.8,0.25
2015,4,PI 418900,1,0.378
2015,1,PI 418901,0.846,0.65
2015,2,PI 418901,0.75,0.3
2015,3,PI 418901,0.957,0.575
2015,4,PI 418901,0.92,0.676
2015,2,PI 422487,0.882,0.425
2015,3,PI 422487,1,0.325
2015,4,PI 422487,0.909,0.297
2015,1,PI 442556,0.294,0.425
2015,2,PI 442556,0.867,0.375
2015,3,PI 442556,0.75,0.2
2015,4,PI 442556,1,0
2015,1,PI 499564,1,0.125
2015,2,PI 499564,0.75,0.2
2015,3,PI 499564,0.75,0.2
2015,4,PI 499564,0.833,0.162
2015,1,PI 527691,0.895,0.475
2015,2,PI 527691,1,0.55
2015,3,PI 527691,1,0.525
2015,4,PI 527691,0.65,0.541
2015,1,PI 556990,0.962,0.65
2015,2,PI 556990,0.909,0.825
2015,3,PI 556990,0.969,0.8
2015,4,PI 556990,0.733,0.405
2015,1,PI 561569,1,0.225
2015,2,PI 561569,0.909,0.275
2015,3,PI 561569,1,0.2
2015,4,PI 561569,1,0.216
2015,2,PI 561942,0.815,0.675
2015,3,PI 561942,0.852,0.675
2015,4,PI 561942,0.941,0.459
2015,1,PI 561943,0.929,0.7
2015,2,PI 561943,0.903,0.775
2015,3,PI 561943,0.967,0.75
2015,4,PI 561943,0.955,0.595
2015,1,PI 561944,0.885,0.65
2015,2,PI 561944,0.909,0.55
2015,3,PI 561944,1,0.65
2015,4,PI 561944,0.96,0.676
2015,1,PI 603034,0.963,0.675
2015,2,PI 603034,1,0.625
2015,3,PI 603034,0.074,0.675
2015,4,PI 603034,1,0.595
2015,1,PI 613042,1,0.525
2015,2,PI 613042,0.88,0.625
2015,3,PI 613042,1,0.775
2015,4,PI 613042,0.889,0.73
2015,2,PI 613043,0.963,0.675
2015,3,PI 613043,1,0.425
2015,4,PI 613043,0.824,0.459
2015,1,PI 613044,1,0.45
2015,2,PI 613044,1,0.475
2015,3,PI 613044,1,0.55
2015,4,PI 613044,0.947,0.514
2015,1,PI 613045,0.938,0.4
2015,2,PI 613045,1,0.175
2015,3,PI 613045,1,0.375
2015,4,PI 613045,1,0.351
2015,1,PI 613046,1,0.525
2015,2,PI 613046,1,0.3
2015,3,PI 613046,1,0.6
2015,4,PI 613046,1,0.486
2015,1,PI 613047,1,0.7
2015,2,PI 613047,1,0.6
2015,3,PI 613047,1,0.125
2015,4,PI 613047,1,0.622
2015,2,PI 613048,0.95,0.5
2015,3,PI 613048,0.941,0.425
2015,4,PI 613048,1,0.351
2015,1,PI 613049,0.862,0.725
2015,2,PI 613049,0.889,0.45
2015,3,PI 613049,0.84,0.625
2015,4,PI 613049,1,0.378
2015,1,PI 655006,0.968,0.775
2015,2,PI 655006,1,0.575
2015,3,PI 655006,0.964,0.7
2015,4,PI 655006,0.964,0.757
2015,1,PI 655007,1,0.4
2015,2,PI 655007,1,0.55
2015,3,PI 655007,1,0.425
2015,1,PI 663850,0.857,0.35
2015,2,PI 663850,1,0.475
2015,3,PI 663850,1,0.3
2015,4,PI 663850,0.905,0.568
